epoch,val_acc,test_acc,sparsity,params
10,0.9254901960784314,0.9046999512115791,0.05,22480618.0
10,0.9303921568627451,0.9058383476988128,0.1,21297428.0
10,0.9274509803921569,0.9095787932997236,0.15,20114237.0
10,0.9323529411764706,0.9086030248820947,0.25,17747856.0
10,0.9264705882352942,0.908277768742885,0.35,15381475.0
10,0.9284313725490196,0.9131566108310294,0.45,13015095.0
10,0.9284313725490196,0.9112050739957717,0.55,10648714.0
10,0.9303921568627451,0.9069767441860465,0.65,8282333.0
10,0.9284313725490196,0.9061636038380224,0.7,7099142.0
10,0.9166666666666666,0.8973816880793625,0.8,4732762.0
10,0.9156862745098039,0.8925028459912181,0.85,3549571.0
