epoch,val_acc,test_acc,sparsity,params
1,0.3803921568627451,0.3620100829403155,0.0,11228838
2,0.6313725490196078,0.603512766303464,0.0,11228838
3,0.7637254901960784,0.7410961131891365,0.0,11228838
4,0.8088235294117647,0.7908603024882095,0.0,11228838
5,0.8362745098039216,0.8310294356805985,0.0,11228838
6,0.8509803921568627,0.8284273865669215,0.0,11228838
7,0.8852941176470588,0.8684338916897056,0.0,11228838
8,0.884313725490196,0.8746137583346886,0.0,11228838
9,0.8862745098039215,0.8731501057082452,0.0,11228838
10,0.8794117647058823,0.866319726784843,0.0,11228838
11,0.8892156862745098,0.872499593429826,0.0,11228838
12,0.8901960784313725,0.8824199056757196,0.0,11228838
13,0.903921568627451,0.8846966986501871,0.0,11228838
14,0.9009803921568628,0.8900634249471459,0.0,11228838
15,0.903921568627451,0.891689705643194,0.0,11228838
16,0.9098039215686274,0.8965685477313384,0.0,11228838
17,0.9137254901960784,0.9003089933322491,0.0,11228838
18,0.9068627450980392,0.893478614408847,0.0,11228838
19,0.9088235294117647,0.8912018214343795,0.0,11228838
20,0.9088235294117647,0.8980322003577818,0.0,11228838
21,0.9274509803921569,0.9011221336802732,0.0,11228838
22,0.9176470588235294,0.8968938038705481,0.0,11228838
23,0.9156862745098039,0.8923402179216132,0.0,11228838
24,0.9205882352941176,0.8936412424784518,0.0,11228838
25,0.9176470588235294,0.9007968775410636,0.0,11228838
26,0.9176470588235294,0.8999837371930395,0.0,11228838
27,0.9107843137254902,0.9007968775410636,0.0,11228838
28,0.9137254901960784,0.904862579281184,0.0,11228838
29,0.9137254901960784,0.9046999512115791,0.0,11228838
30,0.9166666666666666,0.9042120670027647,0.0,11228838
31,0.9107843137254902,0.9025857863067165,0.0,11228838
32,0.9274509803921569,0.9051878354203936,0.0,11228838
33,0.9274509803921569,0.9079525126036754,0.0,11228838
34,0.9245098039215687,0.9068141161164417,0.0,11228838
35,0.9274509803921569,0.9055130915596031,0.0,11228838
36,0.9264705882352942,0.9063262319076273,0.0,11228838
37,0.9294117647058824,0.908277768742885,0.0,11228838
38,0.9264705882352942,0.9077898845340706,0.0,11228838
39,0.9294117647058824,0.9081151406732803,0.0,11228838
40,0.9274509803921569,0.9077898845340706,0.0,11228838
41,0.9323529411764706,0.9084403968124898,0.0,11228838
42,0.9333333333333333,0.910066677508538,0.0,11228838
43,0.9294117647058824,0.907464628394861,0.0,11228838
44,0.9352941176470588,0.9092535371605139,0.0,11228838
45,0.9333333333333333,0.9077898845340706,0.0,11228838
46,0.9333333333333333,0.9084403968124898,0.0,11228838
47,0.9323529411764706,0.9102293055781427,0.0,11228838
48,0.9323529411764706,0.9077898845340706,0.0,11228838
49,0.9303921568627451,0.9086030248820947,0.0,11228838
50,0.9294117647058824,0.9079525126036754,0.0,11228838
