epoch,val_acc,test_acc,sparsity,params
1,0.024509803921568627,0.020328508700601725,0.0,5327526
2,0.04411764705882353,0.0377297121483168,0.0,5327526
3,0.07254901960784314,0.06407545942429663,0.0,5327526
4,0.11372549019607843,0.10798503821759636,0.0,5327526
5,0.14607843137254903,0.1416490486257928,0.0,5327526
6,0.17254901960784313,0.16913319238900634,0.0,5327526
7,0.19607843137254902,0.1888111888111888,0.0,5327526
8,0.22156862745098038,0.21775898520084566,0.0,5327526
9,0.23627450980392156,0.22605301675069117,0.0,5327526
10,0.24705882352941178,0.21857212554886973,0.0,5327526
11,0.2647058823529412,0.23304602374369815,0.0,5327526
12,0.25392156862745097,0.2301187184908115,0.0,5327526
13,0.2519607843137255,0.2180842413400553,0.0,5327526
14,0.24019607843137256,0.21857212554886973,0.0,5327526
15,0.2568627450980392,0.22914295007318264,0.0,5327526
16,0.24901960784313726,0.2219873150105708,0.0,5327526
17,0.24411764705882352,0.22182468694096602,0.0,5327526
18,0.2607843137254902,0.23093185883883557,0.0,5327526
19,0.2656862745098039,0.24377947633761587,0.0,5327526
20,0.2754901960784314,0.2488209464953651,0.0,5327526
21,0.307843137254902,0.2720767604488535,0.0,5327526
22,0.3107843137254902,0.28476174987802894,0.0,5327526
23,0.32254901960784316,0.2937062937062937,0.0,5327526
24,0.34705882352941175,0.3185883883558302,0.0,5327526
25,0.36666666666666664,0.3289965848105383,0.0,5327526
26,0.3813725490196078,0.344120995283786,0.0,5327526
27,0.3931372549019608,0.3540413075296796,0.0,5327526
28,0.4147058823529412,0.37225565132541877,0.0,5327526
29,0.42058823529411765,0.38120019515368353,0.0,5327526
30,0.43823529411764706,0.38981948284273865,0.0,5327526
31,0.44901960784313727,0.3987640266710034,0.0,5327526
32,0.4519607843137255,0.40966010733452596,0.0,5327526
33,0.46078431372549017,0.41583997397950884,0.0,5327526
34,0.4715686274509804,0.4283623353390795,0.0,5327526
35,0.48627450980392156,0.4312896405919662,0.0,5327526
36,0.48627450980392156,0.43454220198406246,0.0,5327526
37,0.49019607843137253,0.4405594405594406,0.0,5327526
38,0.49607843137254903,0.4397463002114165,0.0,5327526
39,0.5058823529411764,0.44543828264758495,0.0,5327526
40,0.5049019607843137,0.4447877703691657,0.0,5327526
41,0.503921568627451,0.44625142299560905,0.0,5327526
42,0.5088235294117647,0.4503171247357294,0.0,5327526
43,0.5078431372549019,0.44950398438770534,0.0,5327526
44,0.5029411764705882,0.4537323141974305,0.0,5327526
45,0.5049019607843137,0.4504797528053342,0.0,5327526
46,0.5098039215686274,0.45454545454545453,0.0,5327526
47,0.5137254901960784,0.45096763701414866,0.0,5327526
48,0.00980392156862745,0.0032525613920962758,0.0,5327526
49,0.00980392156862745,0.0032525613920962758,0.0,5327526
50,0.00980392156862745,0.0032525613920962758,0.0,5327526
