epoch,val_acc,test_acc,sparsity,params
50,0.9274509803921569,0.900471621401854,0.05,22480618.0
50,0.9274509803921569,0.9079525126036754,0.1,21297428.0
50,0.9274509803921569,0.9014473898194828,0.15,20114237.0
50,0.9382352941176471,0.9136444950398439,0.25,17747856.0
50,0.9235294117647059,0.9095787932997236,0.35,15381475.0
50,0.9235294117647059,0.9035615547243454,0.45,13015095.0
50,0.9264705882352942,0.8931533582696374,0.55,10648713.0
50,0.9176470588235294,0.8907139372255651,0.65,8282331.0
50,0.9166666666666666,0.8866482354854448,0.7,7099143.0
50,0.8686274509803922,0.827939502358107,0.8,4732762.0
50,0.7794117647058824,0.7407708570499268,0.85,3549572.0
