epoch,val_acc,test_acc,sparsity,params
1,0.004901960784313725,0.004228329809725159,0.0,2808998
2,0.006862745098039216,0.007806147341031062,0.0,2808998
3,0.016666666666666666,0.019027484143763214,0.0,2808998
4,0.022549019607843137,0.029760936737680925,0.0,2808998
5,0.0392156862745098,0.05513091559603187,0.0,2808998
6,0.04803921568627451,0.0626118067978533,0.0,2808998
7,0.07352941176470588,0.10001626280696048,0.0,2808998
8,0.09509803921568627,0.11611644169783705,0.0,2808998
9,0.11470588235294117,0.14116116441697837,0.0,2808998
10,0.1392156862745098,0.1567734590990405,0.0,2808998
11,0.16176470588235295,0.1684826801105871,0.0,2808998
12,0.16666666666666666,0.17954138884371443,0.0,2808998
13,0.15784313725490196,0.16148967311758008,0.0,2808998
14,0.17058823529411765,0.1684826801105871,0.0,2808998
15,0.17352941176470588,0.16734428362335338,0.0,2808998
16,0.1627450980392157,0.15709871523825011,0.0,2808998
17,0.1588235294117647,0.14018539599934948,0.0,2808998
18,0.1588235294117647,0.14343795739144577,0.0,2808998
19,0.15980392156862744,0.1439258416002602,0.0,2808998
20,0.15490196078431373,0.1296145714750366,0.0,2808998
21,0.1392156862745098,0.12294682062123923,0.0,2808998
22,0.1450980392156863,0.12408521710847292,0.0,2808998
23,0.15196078431372548,0.13010245568385104,0.0,2808998
24,0.15098039215686274,0.12571149780452107,0.0,2808998
25,0.16176470588235295,0.13237924865831843,0.0,2808998
26,0.15588235294117647,0.12538624166531143,0.0,2808998
27,0.1568627450980392,0.12473572938689217,0.0,2808998
28,0.15588235294117647,0.1284761749878029,0.0,2808998
29,0.1588235294117647,0.13010245568385104,0.0,2808998
30,0.1715686274509804,0.13742071881606766,0.0,2808998
31,0.17352941176470588,0.13839648723369655,0.0,2808998
32,0.17549019607843136,0.13465604163278583,0.0,2808998
33,0.17745098039215687,0.13693283460725322,0.0,2808998
34,0.18333333333333332,0.14018539599934948,0.0,2808998
35,0.18529411764705883,0.1449016100178891,0.0,2808998
36,0.18333333333333332,0.14587737843551796,0.0,2808998
37,0.18725490196078431,0.1473410310619613,0.0,2808998
38,0.19117647058823528,0.14945519596682388,0.0,2808998
39,0.1892156862745098,0.15189461701089607,0.0,2808998
40,0.19019607843137254,0.15140673280208164,0.0,2808998
41,0.19019607843137254,0.15514717840299236,0.0,2808998
42,0.1980392156862745,0.15791185558627419,0.0,2808998
43,0.19509803921568628,0.15693608716864532,0.0,2808998
44,0.19509803921568628,0.15758659944706457,0.0,2808998
45,0.19411764705882353,0.158074483655879,0.0,2808998
46,0.19607843137254902,0.16116441697837047,0.0,2808998
47,0.19509803921568628,0.15612294682062125,0.0,2808998
48,0.1892156862745098,0.16051390469995122,0.0,2808998
49,0.2019607843137255,0.15856236786469344,0.0,2808998
50,0.19901960784313724,0.15986339242153197,0.0,2808998
