epoch,val_acc,test_acc,sparsity,params
1,0.23137254901960785,0.2171084729224264,0.0,4138210
2,0.5862745098039216,0.5513091559603187,0.0,4138210
3,0.6794117647058824,0.6545779801593755,0.0,4138210
4,0.7323529411764705,0.6989754431614896,0.0,4138210
5,0.8029411764705883,0.7726459586924703,0.0,4138210
6,0.8490196078431372,0.8219222637827289,0.0,4138210
7,0.8745098039215686,0.8472922426410798,0.0,4138210
8,0.9,0.863717677671166,0.0,4138210
9,0.9107843137254902,0.8819320214669052,0.0,4138210
10,0.9176470588235294,0.8846966986501871,0.0,4138210
11,0.9235294117647059,0.8923402179216132,0.0,4138210
12,0.9303921568627451,0.8700601723857537,0.0,4138210
13,0.9264705882352942,0.9007968775410636,0.0,4138210
14,0.9372549019607843,0.8996584810538298,0.0,4138210
15,0.9372549019607843,0.905675719629208,0.0,4138210
16,0.9372549019607843,0.905675719629208,0.0,4138210
17,0.9401960784313725,0.9081151406732803,0.0,4138210
18,0.9333333333333333,0.9110424459261669,0.0,4138210
19,0.9068627450980392,0.9103919336477476,0.0,4138210
20,0.9372549019607843,0.9133192389006343,0.0,4138210
21,0.9333333333333333,0.912668726622215,0.0,4138210
22,0.9294117647058824,0.9128313546918199,0.0,4138210
23,0.9303921568627451,0.9146202634574727,0.0,4138210
24,0.9352941176470588,0.9076272564644657,0.0,4138210
25,0.9372549019607843,0.915270775735892,0.0,4138210
26,0.9362745098039216,0.9146202634574727,0.0,4138210
27,0.9392156862745098,0.9068141161164417,0.0,4138210
28,0.942156862745098,0.9185233371279883,0.0,4138210
29,0.946078431372549,0.9138071231094487,0.0,4138210
30,0.9392156862745098,0.9191738494064076,0.0,4138210
31,0.9372549019607843,0.9190112213368027,0.0,4138210
32,0.9441176470588235,0.9199869897544316,0.0,4138210
33,0.942156862745098,0.9186859651975932,0.0,4138210
34,0.942156862745098,0.9113677020653765,0.0,4138210
35,0.9392156862745098,0.9201496178240365,0.0,4138210
36,0.9411764705882353,0.9155960318751016,0.0,4138210
37,0.9362745098039216,0.9208001301024556,0.0,4138210
38,0.9382352941176471,0.9183607090583835,0.0,4138210
39,0.946078431372549,0.9247032037729712,0.0,4138210
40,0.942156862745098,0.9208001301024556,0.0,4138210
41,0.946078431372549,0.9217758985200846,0.0,4138210
42,0.9411764705882353,0.9224264107985038,0.0,4138210
43,0.9450980392156862,0.920474873963246,0.0,4138210
44,0.9431372549019608,0.9198243616848268,0.0,4138210
45,0.946078431372549,0.9221011546592942,0.0,4138210
46,0.9450980392156862,0.9201496178240365,0.0,4138210
47,0.946078431372549,0.9227516669377135,0.0,4138210
48,0.9509803921568627,0.9227516669377135,0.0,4138210
49,0.946078431372549,0.9214506423808749,0.0,4138210
50,0.9431372549019608,0.9190112213368027,0.0,4138210
